code,iso,country,Region,LandArea,Pop,UWD
678,STP,SÃ£o TomÃ© and PrÃ­ncipe,Sub-Saharan Africa,960,0.19991,46.28
662,LCA,Saint Lucia,Caribbean,610,0.178015,46.85
670,VCT,Saint Vincent and the Grenadines,Caribbean,390,0.109643,47.21
882,WSM,Samoa,Pacific,2830,0.195125,28.24
682,SAU,Saudi Arabia,Mid East & North Africa,2149690,32.275687,57.77
686,SEN,Senegal,Sub-Saharan Africa,192530,15.411614,14.01
688,SRB,Serbia,Eastern Europe & Eurasia,87460,7.057412,65.82
690,SYC,Seychelles,Sub-Saharan Africa,460,0.094677,55.52
694,SLE,Sierra Leone,Sub-Saharan Africa,72180,7.39619,2.39
702,SGP,Singapore,Asia,709,5.607283,98
703,SVK,Slovakia,Eastern Europe & Eurasia,48086,5.428704,65.12
705,SVN,Slovenia,Eastern Europe & Eurasia,20140,2.064845,66.59
90,SLB,Solomon Islands,Pacific,27990,0.599419,28.98
710,ZAF,South Africa,Sub-Saharan Africa,1213090,55.908865,24.93
410,KOR,South Korea,Asia,97480,51.245707,93.05
724,ESP,Spain,Europe & North America,500210,46.443959,100
144,LKA,Sri Lanka,Asia,62710,21.203,54.3
729,SDN,Sudan,Mid East & North Africa,2376000,39.578828,25.74
740,SUR,Suriname,Latin America,156000,0.558368,36.91
748,SWZ,Swaziland,Sub-Saharan Africa,17200,1.343098,9.68
752,SWE,Sweden,Europe & North America,407310,9.903122,98.14
756,CHE,Switzerland,Europe & North America,39516,8.372098,99.98
158,TWN,Taiwan,Asia,36197,23.555,65.01
762,TJK,Tajikistan,Eastern Europe & Eurasia,138786,8.734951,32.84
834,TZA,Tanzania,Sub-Saharan Africa,885800,55.572201,12.18
764,THA,Thailand,Asia,510890,68.863514,47.37
626,TLS,Timor-Leste,Asia,14870,1.268671,24.73
768,TGO,Togo,Sub-Saharan Africa,54390,7.606374,13.06
776,TON,Tonga,Pacific,720,0.107122,45.63
780,TTO,Trinidad and Tobago,Caribbean,5130,1.364962,54.11
788,TUN,Tunisia,Mid East & North Africa,155360,11.403248,55.48
792,TUR,Turkey,Eastern Europe & Eurasia,769630,79.512426,55.93
795,TKM,Turkmenistan,Eastern Europe & Eurasia,469930,5.662544,49.17
800,UGA,Uganda,Sub-Saharan Africa,200520,41.487965,14.17
804,UKR,Ukraine,Eastern Europe & Eurasia,579290,45.004645,63.53
784,ARE,United Arab Emirates,Mid East & North Africa,83600,9.269612,58.9
826,GBR,United Kingdom,Europe & North America,241930,65.637239,100
840,USA,United States of America,Europe & North America,9147420,323.127513,100
858,URY,Uruguay,Latin America,175020,3.444006,77.47
860,UZB,Uzbekistan,Eastern Europe & Eurasia,425400,31.8482,70.93
548,VUT,Vanuatu,Pacific,12190,0.270402,29.14
862,VEN,Venezuela,Latin America,882050,31.568179,48.38
704,VNM,Viet Nam,Asia,310070,92.7011,55.58
894,ZMB,Zambia,Sub-Saharan Africa,743390,16.59139,9.19
716,ZWE,Zimbabwe,Sub-Saharan Africa,386850,16.150362,11.9
